Year,iso_code3,pij_lndu_wetlands_to_forests_mangroves
2032,ARG,0.0
2033,ARG,0.0
2034,ARG,0.0
2035,ARG,0.0
2036,ARG,0.0
2037,ARG,0.0
2038,ARG,0.0
2039,ARG,0.0
2040,ARG,0.0
2041,ARG,0.0
2042,ARG,0.0
2043,ARG,0.0
2044,ARG,0.0
2045,ARG,0.0
2046,ARG,0.0
2047,ARG,0.0
2048,ARG,0.0
2049,ARG,0.0
2050,ARG,0.0
2019,ATG,1.145439940355266e-05
2020,ATG,0.1969697438710544
2021,ATG,0.1969697438710544
2022,ATG,0.1969697438710544
2023,ATG,0.1969697438710544
2024,ATG,0.1969697438710544
2025,ATG,0.1969697438710544
2026,ATG,0.1969697438710544
2027,ATG,0.1969697438710544
2028,ATG,0.1969697438710544
2029,ATG,0.1969697438710544
2030,ATG,0.1969697438710544
2031,ATG,0.1969697438710544
2032,ATG,0.1969697438710544
2033,ATG,0.1969697438710544
2034,ATG,0.1969697438710544
2035,ATG,0.1969697438710544
2036,ATG,0.1969697438710544
2037,ATG,0.1969697438710544
2038,ATG,0.1969697438710544
2039,ATG,0.1969697438710544
2040,ATG,0.1969697438710544
2041,ATG,0.1969697438710544
2042,ATG,0.1969697438710544
2043,ATG,0.1969697438710544
2044,ATG,0.1969697438710544
2045,ATG,0.1969697438710544
2046,ATG,0.1969697438710544
2047,ATG,0.1969697438710544
2048,ATG,0.1969697438710544
2049,ATG,0.1969697438710544
2050,ATG,0.1969697438710544
2019,AUS,0.0
2020,AUS,7.847763205900252e-05
2021,AUS,7.847763205900252e-05
2022,AUS,7.847763205900252e-05
2023,AUS,7.847763205900252e-05
2024,AUS,7.847763205900252e-05
2025,AUS,7.847763205900252e-05
2026,AUS,7.847763205900252e-05
2027,AUS,7.847763205900252e-05
2028,AUS,7.847763205900252e-05
2029,AUS,7.847763205900252e-05
2030,AUS,7.847763205900252e-05
2031,AUS,7.847763205900252e-05
2032,AUS,7.847763205900252e-05
2033,AUS,7.847763205900252e-05
2034,AUS,7.847763205900252e-05
2035,AUS,7.847763205900252e-05
2036,AUS,7.847763205900252e-05
2037,AUS,7.847763205900252e-05
2038,AUS,7.847763205900252e-05
2039,AUS,7.847763205900252e-05
2040,AUS,7.847763205900252e-05
2041,AUS,7.847763205900252e-05
2042,AUS,7.847763205900252e-05
2043,AUS,7.847763205900252e-05
2044,AUS,7.847763205900252e-05
2045,AUS,7.847763205900252e-05
2046,AUS,7.847763205900252e-05
2047,AUS,7.847763205900252e-05
2048,AUS,7.847763205900252e-05
2049,AUS,7.847763205900252e-05
2050,AUS,7.847763205900252e-05
2019,AUT,0.0
2020,AUT,0.0980505772699199
2021,AUT,0.0980505772699199
2022,AUT,0.0980505772699199
2023,AUT,0.0980505772699199
2024,AUT,0.0980505772699199
2025,AUT,0.0980505772699199
2026,AUT,0.0980505772699199
2027,AUT,0.0980505772699199
2028,AUT,0.0980505772699199
2029,AUT,0.0980505772699199
2030,AUT,0.0980505772699199
2031,AUT,0.0980505772699199
2032,AUT,0.0980505772699199
2033,AUT,0.0980505772699199
2034,AUT,0.0980505772699199
2035,AUT,0.0980505772699199
2036,AUT,0.0980505772699199
2037,AUT,0.0980505772699199
2038,AUT,0.0980505772699199
2039,AUT,0.0980505772699199
2040,AUT,0.0980505772699199
2041,AUT,0.0980505772699199
2042,AUT,0.0980505772699199
2043,AUT,0.0980505772699199
2044,AUT,0.0980505772699199
2045,AUT,0.0980505772699199
2046,AUT,0.0980505772699199
2047,AUT,0.0980505772699199
2048,AUT,0.0980505772699199
2049,AUT,0.0980505772699199
2050,AUT,0.0980505772699199
2019,AZE,0.0
2020,AZE,0.0
2021,AZE,0.0
2022,AZE,0.0
2023,AZE,0.0
2024,AZE,0.0
2025,AZE,0.0
2026,AZE,0.0
2027,AZE,0.0
2028,AZE,0.0
2029,AZE,0.0
2030,AZE,0.0
2031,AZE,0.0
2032,AZE,0.0
2033,AZE,0.0
2034,AZE,0.0
2035,AZE,0.0
2036,AZE,0.0
2037,AZE,0.0
2038,AZE,0.0
2039,AZE,0.0
2040,AZE,0.0
2041,AZE,0.0
2042,AZE,0.0
2043,AZE,0.0
2044,AZE,0.0
2045,AZE,0.0
2046,AZE,0.0
2047,AZE,0.0
2048,AZE,0.0
2049,AZE,0.0
2050,AZE,0.0
2019,BDI,0.0
2020,BDI,0.1960898431100549
2021,BDI,0.1960898431100549
2022,BDI,0.1960898431100549
2023,BDI,0.1960898431100549
2024,BDI,0.1960898431100549
2025,BDI,0.1960898431100549
2026,BDI,0.1960898431100549
2027,BDI,0.1960898431100549
2028,BDI,0.1960898431100549
2029,BDI,0.1960898431100549
2030,BDI,0.1960898431100549
2031,BDI,0.1960898431100549
2032,BDI,0.1960898431100549
2033,BDI,0.1960898431100549
2034,BDI,0.1960898431100549
2035,BDI,0.1960898431100549
2036,BDI,0.1960898431100549
2037,BDI,0.1960898431100549
2038,BDI,0.1960898431100549
2039,BDI,0.1960898431100549
2040,BDI,0.1960898431100549
2041,BDI,0.1960898431100549
2042,BDI,0.1960898431100549
2043,BDI,0.1960898431100549
2044,BDI,0.1960898431100549
2045,BDI,0.1960898431100549
2046,BDI,0.1960898431100549
2047,BDI,0.1960898431100549
2048,BDI,0.1960898431100549
2049,BDI,0.1960898431100549
2050,BDI,0.1960898431100549
2019,BEL,0.0
2020,BEL,0.0
2021,BEL,0.0
2022,BEL,0.0
2023,BEL,0.0
2024,BEL,0.0
2025,BEL,0.0
2026,BEL,0.0
2027,BEL,0.0
2028,BEL,0.0
2029,BEL,0.0
2030,BEL,0.0
2031,BEL,0.0
2032,BEL,0.0
2033,BEL,0.0
2034,BEL,0.0
2035,BEL,0.0
2036,BEL,0.0
2037,BEL,0.0
2038,BEL,0.0
2039,BEL,0.0
2040,BEL,0.0
2041,BEL,0.0
2042,BEL,0.0
2043,BEL,0.0
2044,BEL,0.0
2045,BEL,0.0
2046,BEL,0.0
2047,BEL,0.0
2048,BEL,0.0
2049,BEL,0.0
2050,BEL,0.0
2019,BEN,5.56167136718012e-05
2020,BEN,0.0982860824839104
2021,BEN,0.0982860824839104
2022,BEN,0.0982860824839104
2023,BEN,0.0982860824839104
2024,BEN,0.0982860824839104
2025,BEN,0.0982860824839104
2026,BEN,0.0982860824839104
2027,BEN,0.0982860824839104
2028,BEN,0.0982860824839104
2029,BEN,0.0982860824839104
2030,BEN,0.0982860824839104
2031,BEN,0.0982860824839104
2032,BEN,0.0982860824839104
2033,BEN,0.0982860824839104
2034,BEN,0.0982860824839104
2035,BEN,0.0982860824839104
2036,BEN,0.0982860824839104
2037,BEN,0.0982860824839104
2038,BEN,0.0982860824839104
2039,BEN,0.0982860824839104
2040,BEN,0.0982860824839104
2041,BEN,0.0982860824839104
2042,BEN,0.0982860824839104
2043,BEN,0.0982860824839104
2044,BEN,0.0982860824839104
2045,BEN,0.0982860824839104
2046,BEN,0.0982860824839104
2047,BEN,0.0982860824839104
2048,BEN,0.0982860824839104
2049,BEN,0.0982860824839104
2050,BEN,0.0982860824839104
2019,BFA,0.0
2020,BFA,0.0980943162356943
2021,BFA,0.0980943162356943
2022,BFA,0.0980943162356943
2023,BFA,0.0980943162356943
2024,BFA,0.0980943162356943
2025,BFA,0.0980943162356943
2026,BFA,0.0980943162356943
2027,BFA,0.0980943162356943
2028,BFA,0.0980943162356943
2029,BFA,0.0980943162356943
2030,BFA,0.0980943162356943
2031,BFA,0.0980943162356943
2032,BFA,0.0980943162356943
2033,BFA,0.0980943162356943
2034,BFA,0.0980943162356943
2035,BFA,0.0980943162356943
2036,BFA,0.0980943162356943
2037,BFA,0.0980943162356943
2038,BFA,0.0980943162356943
2039,BFA,0.0980943162356943
2040,BFA,0.0980943162356943
2041,BFA,0.0980943162356943
2042,BFA,0.0980943162356943
2043,BFA,0.0980943162356943
2044,BFA,0.0980943162356943
2045,BFA,0.0980943162356943
2046,BFA,0.0980943162356943
2047,BFA,0.0980943162356943
2048,BFA,0.0980943162356943
2049,BFA,0.0980943162356943
2050,BFA,0.0980943162356943
2019,BGD,0.0014465129911145
2020,BGD,0.0013702457353357
2021,BGD,0.0013702457353357
2022,BGD,0.0013702457353357
2023,BGD,0.0013702457353357
2024,BGD,0.0013702457353357
2025,BGD,0.0013702457353357
2026,BGD,0.0013702457353357
2027,BGD,0.0013702457353357
2028,BGD,0.0013702457353357
2029,BGD,0.0013702457353357
2030,BGD,0.0013702457353357
2031,BGD,0.0013702457353357
2032,BGD,0.0013702457353357
2033,BGD,0.0013702457353357
2034,BGD,0.0013702457353357
2035,BGD,0.0013702457353357
2036,BGD,0.0013702457353357
2037,BGD,0.0013702457353357
2038,BGD,0.0013702457353357
2039,BGD,0.0013702457353357
2040,BGD,0.0013702457353357
2041,BGD,0.0013702457353357
2042,BGD,0.0013702457353357
2043,BGD,0.0013702457353357
2044,BGD,0.0013702457353357
2045,BGD,0.0013702457353357
2046,BGD,0.0013702457353357
2047,BGD,0.0013702457353357
2048,BGD,0.0013702457353357
2049,BGD,0.0013702457353357
2050,BGD,0.0013702457353357
2019,BGR,0.0
2020,BGR,0.0
2021,BGR,0.0
2022,BGR,0.0
2023,BGR,0.0
2024,BGR,0.0
2025,BGR,0.0
2026,BGR,0.0
2027,BGR,0.0
2028,BGR,0.0
2029,BGR,0.0
2030,BGR,0.0
2031,BGR,0.0
2032,BGR,0.0
2033,BGR,0.0
2034,BGR,0.0
2035,BGR,0.0
2036,BGR,0.0
2037,BGR,0.0
2038,BGR,0.0
2039,BGR,0.0
2040,BGR,0.0
2041,BGR,0.0
2042,BGR,0.0
2043,BGR,0.0
2044,BGR,0.0
2045,BGR,0.0
2046,BGR,0.0
2047,BGR,0.0
2048,BGR,0.0
2049,BGR,0.0
2050,BGR,0.0
2019,BHS,0.0006572117156046
2020,BHS,0.0001314423431209
2021,BHS,0.0001314423431209
2022,BHS,0.0001314423431209
2023,BHS,0.0001314423431209
2024,BHS,0.0001314423431209
2025,BHS,0.0001314423431209
2026,BHS,0.0001314423431209
2027,BHS,0.0001314423431209
2028,BHS,0.0001314423431209
2029,BHS,0.0001314423431209
2030,BHS,0.0001314423431209
2031,BHS,0.0001314423431209
2032,BHS,0.0001314423431209
2033,BHS,0.0001314423431209
2034,BHS,0.0001314423431209
2035,BHS,0.0001314423431209
2036,BHS,0.0001314423431209
2037,BHS,0.0001314423431209
2038,BHS,0.0001314423431209
2039,BHS,0.0001314423431209
2040,BHS,0.0001314423431209
2041,BHS,0.0001314423431209
2042,BHS,0.0001314423431209
2043,BHS,0.0001314423431209
2044,BHS,0.0001314423431209
2045,BHS,0.0001314423431209
2046,BHS,0.0001314423431209
2047,BHS,0.0001314423431209
2048,BHS,0.0001314423431209
2049,BHS,0.0001314423431209
2050,BHS,0.0001314423431209
2019,BIH,0.0
2020,BIH,0.0980517395930258
2021,BIH,0.0980517395930258
2022,BIH,0.0980517395930258
2023,BIH,0.0980517395930258
2024,BIH,0.0980517395930258
2025,BIH,0.0980517395930258
2026,BIH,0.0980517395930258
2027,BIH,0.0980517395930258
2028,BIH,0.0980517395930258
2029,BIH,0.0980517395930258
2030,BIH,0.0980517395930258
2031,BIH,0.0980517395930258
2032,BIH,0.0980517395930258
2033,BIH,0.0980517395930258
2034,BIH,0.0980517395930258
2035,BIH,0.0980517395930258
2036,BIH,0.0980517395930258
2037,BIH,0.0980517395930258
2038,BIH,0.0980517395930258
2039,BIH,0.0980517395930258
2040,BIH,0.0980517395930258
2041,BIH,0.0980517395930258
2042,BIH,0.0980517395930258
2043,BIH,0.0980517395930258
2044,BIH,0.0980517395930258
2045,BIH,0.0980517395930258
2046,BIH,0.0980517395930258
2047,BIH,0.0980517395930258
2048,BIH,0.0980517395930258
2049,BIH,0.0980517395930258
2050,BIH,0.0980517395930258
2019,BLR,0.0
2020,BLR,0.0
2021,BLR,0.0
2022,BLR,0.0
2023,BLR,0.0
2024,BLR,0.0
2025,BLR,0.0
2026,BLR,0.0
2027,BLR,0.0
2028,BLR,0.0
2029,BLR,0.0
2030,BLR,0.0
2031,BLR,0.0
2032,BLR,0.0
2033,BLR,0.0
2034,BLR,0.0
2035,BLR,0.0
2036,BLR,0.0
2037,BLR,0.0
2038,BLR,0.0
2039,BLR,0.0
2040,BLR,0.0
2041,BLR,0.0
2042,BLR,0.0
2043,BLR,0.0
2044,BLR,0.0
2045,BLR,0.0
2046,BLR,0.0
2047,BLR,0.0
2048,BLR,0.0
2049,BLR,0.0
2050,BLR,0.0
2019,BLZ,2.4445349805075084e-05
2020,BLZ,0.0017573389716991
2021,BLZ,0.0017573389716991
2022,BLZ,0.0017573389716991
2023,BLZ,0.0017573389716991
2024,BLZ,0.0017573389716991
2025,BLZ,0.0017573389716991
2026,BLZ,0.0017573389716991
2027,BLZ,0.0017573389716991
2028,BLZ,0.0017573389716991
2029,BLZ,0.0017573389716991
2030,BLZ,0.0017573389716991
2031,BLZ,0.0017573389716991
2032,BLZ,0.0017573389716991
2033,BLZ,0.0017573389716991
2034,BLZ,0.0017573389716991
2035,BLZ,0.0017573389716991
2036,BLZ,0.0017573389716991
2037,BLZ,0.0017573389716991
2038,BLZ,0.0017573389716991
2039,BLZ,0.0017573389716991
2040,BLZ,0.0017573389716991
2041,BLZ,0.0017573389716991
2042,BLZ,0.0017573389716991
2043,BLZ,0.0017573389716991
2044,BLZ,0.0017573389716991
2045,BLZ,0.0017573389716991
2046,BLZ,0.0017573389716991
2047,BLZ,0.0017573389716991
2048,BLZ,0.0017573389716991
2049,BLZ,0.0017573389716991
2050,BLZ,0.0017573389716991
2019,BOL,0.0
2020,BOL,0.0
2021,BOL,0.0
2022,BOL,0.0
2023,BOL,0.0
2024,BOL,0.0
2025,BOL,0.0
2026,BOL,0.0
2027,BOL,0.0
2028,BOL,0.0
2029,BOL,0.0
2030,BOL,0.0
2031,BOL,0.0
2032,BOL,0.0
2033,BOL,0.0
2034,BOL,0.0
2035,BOL,0.0
2036,BOL,0.0
2037,BOL,0.0
2038,BOL,0.0
2039,BOL,0.0
2040,BOL,0.0
2041,BOL,0.0
2042,BOL,0.0
2043,BOL,0.0
2044,BOL,0.0
2045,BOL,0.0
2046,BOL,0.0
2047,BOL,0.0
2048,BOL,0.0
2049,BOL,0.0
2050,BOL,0.0
2019,BRA,7.750589339607977e-05
2020,BRA,0.0004531632256144
2021,BRA,0.0004531632256144
2022,BRA,0.0004531632256144
2023,BRA,0.0004531632256144
2024,BRA,0.0004531632256144
2025,BRA,0.0004531632256144
2026,BRA,0.0004531632256144
2027,BRA,0.0004531632256144
2028,BRA,0.0004531632256144
2029,BRA,0.0004531632256144
2030,BRA,0.0004531632256144
2031,BRA,0.0004531632256144
2032,BRA,0.0004531632256144
2033,BRA,0.0004531632256144
2034,BRA,0.0004531632256144
2035,BRA,0.0004531632256144
2036,BRA,0.0004531632256144
2037,BRA,0.0004531632256144
2038,BRA,0.0004531632256144
2039,BRA,0.0004531632256144
2040,BRA,0.0004531632256144
2041,BRA,0.0004531632256144
2042,BRA,0.0004531632256144
2043,BRA,0.0004531632256144
2044,BRA,0.0004531632256144
2045,BRA,0.0004531632256144
2046,BRA,0.0004531632256144
2047,BRA,0.0004531632256144
2048,BRA,0.0004531632256144
2049,BRA,0.0004531632256144
2050,BRA,0.0004531632256144
2019,BRN,0.0
2020,BRN,0.0980938568555222
2021,BRN,0.0980938568555222
2022,BRN,0.0980938568555222
2023,BRN,0.0980938568555222
2024,BRN,0.0980938568555222
2025,BRN,0.0980938568555222
2026,BRN,0.0980938568555222
2027,BRN,0.0980938568555222
2028,BRN,0.0980938568555222
2029,BRN,0.0980938568555222
2030,BRN,0.0980938568555222
2031,BRN,0.0980938568555222
2032,BRN,0.0980938568555222
2033,BRN,0.0980938568555222
2034,BRN,0.0980938568555222
2035,BRN,0.0980938568555222
2036,BRN,0.0980938568555222
2037,BRN,0.0980938568555222
2038,BRN,0.0980938568555222
2039,BRN,0.0980938568555222
2040,BRN,0.0980938568555222
2041,BRN,0.0980938568555222
2042,BRN,0.0980938568555222
2043,BRN,0.0980938568555222
2044,BRN,0.0980938568555222
2045,BRN,0.0980938568555222
2046,BRN,0.0980938568555222
2047,BRN,0.0980938568555222
2048,BRN,0.0980938568555222
2049,BRN,0.0980938568555222
2050,BRN,0.0980938568555222
2019,BWA,0.0
2020,BWA,0.0980959710166078
2021,BWA,0.0980959710166078
2022,BWA,0.0980959710166078
2023,BWA,0.0980959710166078
2024,BWA,0.0980959710166078
2025,BWA,0.0980959710166078
2026,BWA,0.0980959710166078
2027,BWA,0.0980959710166078
2028,BWA,0.0980959710166078
2029,BWA,0.0980959710166078
2030,BWA,0.0980959710166078
2031,BWA,0.0980959710166078
2032,BWA,0.0980959710166078
2033,BWA,0.0980959710166078
2034,BWA,0.0980959710166078
2035,BWA,0.0980959710166078
2036,BWA,0.0980959710166078
2037,BWA,0.0980959710166078
2038,BWA,0.0980959710166078
2039,BWA,0.0980959710166078
2040,BWA,0.0980959710166078
2041,BWA,0.0980959710166078
2042,BWA,0.0980959710166078
2043,BWA,0.0980959710166078
2044,BWA,0.0980959710166078
2045,BWA,0.0980959710166078
2046,BWA,0.0980959710166078
2047,BWA,0.0980959710166078
2048,BWA,0.0980959710166078
2049,BWA,0.0980959710166078
2050,BWA,0.0980959710166078
2019,CAF,0.0
2020,CAF,0.0
2021,CAF,0.0
2022,CAF,0.0
2023,CAF,0.0
2024,CAF,0.0
2025,CAF,0.0
2026,CAF,0.0
2027,CAF,0.0
2028,CAF,0.0
2029,CAF,0.0
2030,CAF,0.0
2031,CAF,0.0
2032,CAF,0.0
2033,CAF,0.0
2034,CAF,0.0
2035,CAF,0.0
2036,CAF,0.0
2037,CAF,0.0
2038,CAF,0.0
2039,CAF,0.0
2040,CAF,0.0
2041,CAF,0.0
2042,CAF,0.0
2043,CAF,0.0
2044,CAF,0.0
2045,CAF,0.0
2046,CAF,0.0
2047,CAF,0.0
2048,CAF,0.0
2049,CAF,0.0
2050,CAF,0.0
2019,CAN,0.0
2020,CAN,0.0
2021,CAN,0.0
2022,CAN,0.0
2023,CAN,0.0
2024,CAN,0.0
2025,CAN,0.0
2026,CAN,0.0
2027,CAN,0.0
2028,CAN,0.0
2029,CAN,0.0
2030,CAN,0.0
2031,CAN,0.0
2032,CAN,0.0
2033,CAN,0.0
2034,CAN,0.0
2035,CAN,0.0
2036,CAN,0.0
2037,CAN,0.0
2038,CAN,0.0
2039,CAN,0.0
2040,CAN,0.0
2041,CAN,0.0
2042,CAN,0.0
2043,CAN,0.0
2044,CAN,0.0
2045,CAN,0.0
2046,CAN,0.0
2047,CAN,0.0
2048,CAN,0.0
2049,CAN,0.0
2050,CAN,0.0
2019,CHE,0.0
2020,CHE,0.0980505320282792
2021,CHE,0.0980505320282792
2022,CHE,0.0980505320282792
2023,CHE,0.0980505320282792
2024,CHE,0.0980505320282792
2025,CHE,0.0980505320282792
2026,CHE,0.0980505320282792
2027,CHE,0.0980505320282792
2028,CHE,0.0980505320282792
2029,CHE,0.0980505320282792
2030,CHE,0.0980505320282792
2031,CHE,0.0980505320282792
2032,CHE,0.0980505320282792
2033,CHE,0.0980505320282792
2034,CHE,0.0980505320282792
2035,CHE,0.0980505320282792
2036,CHE,0.0980505320282792
2037,CHE,0.0980505320282792
2038,CHE,0.0980505320282792
2039,CHE,0.0980505320282792
2040,CHE,0.0980505320282792
2041,CHE,0.0980505320282792
2042,CHE,0.0980505320282792
2043,CHE,0.0980505320282792
2044,CHE,0.0980505320282792
2045,CHE,0.0980505320282792
2046,CHE,0.0980505320282792
2047,CHE,0.0980505320282792
2048,CHE,0.0980505320282792
2049,CHE,0.0980505320282792
2050,CHE,0.0980505320282792
2019,CHL,0.0
2020,CHL,0.0
2021,CHL,0.0
2022,CHL,0.0
2023,CHL,0.0
2024,CHL,0.0
2025,CHL,0.0
2026,CHL,0.0
2027,CHL,0.0
2028,CHL,0.0
2029,CHL,0.0
2030,CHL,0.0
2031,CHL,0.0
2032,CHL,0.0
2033,CHL,0.0
2034,CHL,0.0
2035,CHL,0.0
2036,CHL,0.0
2037,CHL,0.0
2038,CHL,0.0
2039,CHL,0.0
2040,CHL,0.0
2041,CHL,0.0
2042,CHL,0.0
2043,CHL,0.0
2044,CHL,0.0
2045,CHL,0.0
2046,CHL,0.0
2047,CHL,0.0
2048,CHL,0.0
2049,CHL,0.0
2050,CHL,0.0
2019,CHN,0.0010818850043219
2020,CHN,0.0006209862080247
2021,CHN,0.0006209862080247
2022,CHN,0.0006209862080247
2023,CHN,0.0006209862080247
2024,CHN,0.0006209862080247
2025,CHN,0.0006209862080247
2026,CHN,0.0006209862080247
2027,CHN,0.0006209862080247
2028,CHN,0.0006209862080247
2029,CHN,0.0006209862080247
2030,CHN,0.0006209862080247
2031,CHN,0.0006209862080247
2032,CHN,0.0006209862080247
2033,CHN,0.0006209862080247
2034,CHN,0.0006209862080247
2035,CHN,0.0006209862080247
2036,CHN,0.0006209862080247
2037,CHN,0.0006209862080247
2038,CHN,0.0006209862080247
2039,CHN,0.0006209862080247
2040,CHN,0.0006209862080247
2041,CHN,0.0006209862080247
2042,CHN,0.0006209862080247
2043,CHN,0.0006209862080247
2044,CHN,0.0006209862080247
2045,CHN,0.0006209862080247
2046,CHN,0.0006209862080247
2047,CHN,0.0006209862080247
2048,CHN,0.0006209862080247
2049,CHN,0.0006209862080247
2050,CHN,0.0006209862080247
2019,CIV,0.0005813949680394
2020,CIV,0.0017361988447441
2021,CIV,0.0017361988447441
2022,CIV,0.0017361988447441
2023,CIV,0.0017361988447441
2024,CIV,0.0017361988447441
2025,CIV,0.0017361988447441
2026,CIV,0.0017361988447441
2027,CIV,0.0017361988447441
2028,CIV,0.0017361988447441
2029,CIV,0.0017361988447441
2030,CIV,0.0017361988447441
2031,CIV,0.0017361988447441
2032,CIV,0.0017361988447441
2033,CIV,0.0017361988447441
2034,CIV,0.0017361988447441
2035,CIV,0.0017361988447441
2036,CIV,0.0017361988447441
2037,CIV,0.0017361988447441
2038,CIV,0.0017361988447441
2039,CIV,0.0017361988447441
2040,CIV,0.0017361988447441
2041,CIV,0.0017361988447441
2042,CIV,0.0017361988447441
2043,CIV,0.0017361988447441
2044,CIV,0.0017361988447441
2045,CIV,0.0017361988447441
2046,CIV,0.0017361988447441
2047,CIV,0.0017361988447441
2048,CIV,0.0017361988447441
2049,CIV,0.0017361988447441
2050,CIV,0.0017361988447441
2019,CMR,7.835469489479888e-05
2020,CMR,0.0005021496373945
2021,CMR,0.0005021496373945
2022,CMR,0.0005021496373945
2023,CMR,0.0005021496373945
2024,CMR,0.0005021496373945
2025,CMR,0.0005021496373945
2026,CMR,0.0005021496373945
2027,CMR,0.0005021496373945
2028,CMR,0.0005021496373945
2029,CMR,0.0005021496373945
2030,CMR,0.0005021496373945
2031,CMR,0.0005021496373945
2032,CMR,0.0005021496373945
2033,CMR,0.0005021496373945
2034,CMR,0.0005021496373945
2035,CMR,0.0005021496373945
2036,CMR,0.0005021496373945
2037,CMR,0.0005021496373945
2038,CMR,0.0005021496373945
2039,CMR,0.0005021496373945
2040,CMR,0.0005021496373945
2041,CMR,0.0005021496373945
2042,CMR,0.0005021496373945
2043,CMR,0.0005021496373945
2044,CMR,0.0005021496373945
2045,CMR,0.0005021496373945
2046,CMR,0.0005021496373945
2047,CMR,0.0005021496373945
2048,CMR,0.0005021496373945
2049,CMR,0.0005021496373945
2050,CMR,0.0005021496373945
2019,COD,0.0
2020,COD,0.0
2021,COD,0.0
2022,COD,0.0
2023,COD,0.0
2024,COD,0.0
2025,COD,0.0
2026,COD,0.0
2027,COD,0.0
2028,COD,0.0
2029,COD,0.0
2030,COD,0.0
2031,COD,0.0
2032,COD,0.0
2033,COD,0.0
2034,COD,0.0
2035,COD,0.0
2036,COD,0.0
2037,COD,0.0
2038,COD,0.0
2039,COD,0.0
2040,COD,0.0
2041,COD,0.0
2042,COD,0.0
2043,COD,0.0
2044,COD,0.0
2045,COD,0.0
2046,COD,0.0
2047,COD,0.0
2048,COD,0.0
2049,COD,0.0
2050,COD,0.0
2019,COG,0.0010323296105948
2020,COG,0.0009724504615549
2021,COG,0.0009724504615549
2022,COG,0.0009724504615549
2023,COG,0.0009724504615549
2024,COG,0.0009724504615549
2025,COG,0.0009724504615549
2026,COG,0.0009724504615549
2027,COG,0.0009724504615549
2028,COG,0.0009724504615549
2029,COG,0.0009724504615549
2030,COG,0.0009724504615549
2031,COG,0.0009724504615549
2032,COG,0.0009724504615549
2033,COG,0.0009724504615549
2034,COG,0.0009724504615549
2035,COG,0.0009724504615549
2036,COG,0.0009724504615549
2037,COG,0.0009724504615549
2038,COG,0.0009724504615549
2039,COG,0.0009724504615549
2040,COG,0.0009724504615549
2041,COG,0.0009724504615549
2042,COG,0.0009724504615549
2043,COG,0.0009724504615549
2044,COG,0.0009724504615549
2045,COG,0.0009724504615549
2046,COG,0.0009724504615549
2047,COG,0.0009724504615549
2048,COG,0.0009724504615549
2049,COG,0.0009724504615549
